CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
9078460,2020,20201002,0105,20200320,1042,2799,1045,5,6,0105,0,0,STEVENSON BL,RT 880,0,W,N
9078465,2020,20200929,5406,20200228,1849,82,5406,5,4,5406,0,0,INYO AV,WEST,0,W,N
9078468,2020,20201012,4304,20200303,1359,B2022,4304,2,4,4304,0,0,MURRAY AV,LEAVESLEY RD,0,S,N
9078470,2020,20200929,5406,20200220,0844,EWILSON,5406,4,4,5406,0,0,E TULARE AVE,M,0,W,N
9078473,2020,20200609,3600,20200316,1452,F5189,VC020,1,5,3612,0,0,BEAR VALLEY RD,MARIPOSA RD,0,E,N
9078477,2020,20200904,4114,20200313,2308,0038,SNB1,5,4,4114,0,0,RT 101,SAN BRUNO AV,0,S,N
9078479,2020,20201002,5406,20200226,1319,41,4B,3,4,5406,0,0,RT 137,HIGHLAND,0,W,N
9078481,2020,20200716,0107,20200221,0750,J310,B290,5,5,0107,0,0,1ST ST,SOUTHFRONT RD,0,N,N
9078482,2020,20200817,0107,20200221,1811,B353,C100,5,5,0107,0,0,RT 84,STANLEY BL,0,N,N
9078484,2020,20200817,0107,20200221,1704,S518,A220,5,5,0107,0,0,RT 84,E JACK LONDON BL,0,S,N
9078487,2020,20200922,0901,20200127,2303,321,0901,1,2,0901,0,0,POINT VIEW DR,BROADWAY DR,0,N,N
9078492,2020,20200715,0703,20200401,0633,C074,042,3,3,0703,0,0,PEACOCK CREEK DR,LONE PINE CT,0,W,N
9078494,2020,20200615,1942,20200124,0928,44110,RD139,5,7,1942,0,0,52ND PL,MAIN ST,0,W,N
9078495,2020,20200509,3600,20200126,1159,H8252,AD309,7,3,3613,0,0,BELLFLOWER ST,EDISON POLE #2293202E,0,S,N
9078501,2020,20200615,1942,20200123,1200,40275,0409,4,7,1942,0,0,HUNTINGTON DR N,W MAIN ST,0,E,N
9078505,2020,20200509,1942,20200122,1420,43056,1377,3,7,1942,0,0,LONG BEACH BL,55TH ST,0,W,N
9078506,2019,20200509,5604,20190122,1015,4569,4103,2,6,5604,0,0,SAVIERS RD,JOHNSON DR,0,N,N
9078516,2020,20200430,1942,20200130,0945,35554,1752,4,7,1942,0,0,DE SOTO AV,DEVONSHIRE,0,N,N
9078518,2020,20200817,4300,20200114,0537,2205,C4,2,5,4303,0,0,DE ANZA BL,RT 280,0,W,N
9078519,2020,20201002,4300,20200131,1555,2221,C7,5,5,4303,0,0,DE ANZA BL,RT 85,0,S,N
9078520,2020,20200522,1942,20200128,0815,26326,1753,2,7,1942,0,0,DEVONSHIRE ST,WINNETKA,0,W,N
9078523,2020,20200429,0710,20200129,1335,1483,NORTH,3,5,0710,0,0,SAN PABLO AV,CLINTON AV,0,S,N
9078524,2020,20200429,1942,20200129,1227,43941,1785,3,7,1942,0,0,BALBOA BL,RAYEN ST,0,S,N
9078531,2020,20200429,1942,20200116,0625,39395,1327,4,7,1942,0,0,S ALAMEDA ST,E 22ND ST,0,S,N
9078564,2019,20200925,4502,20191026,2213,R185,R04,6,5,4502,0,0,RT 273,GIRVAN RD,0,N,N
9078565,2019,20200911,3308,20191102,1501,10597,516,6,5,3308,0,0,FLORIDA AV,LAS LUNAS ST,0,W,N
9078566,2019,20200925,4502,20191205,0405,JAEGEL14,R04,4,5,4502,0,0,SOUTH BONNYVIEW RD,RT 273,0,E,N
9078567,2019,20200914,3308,20191108,1412,10636,516,5,5,3308,0,0,FLORIDA AV,GILBERT ST,0,E,N
